text,intent
Finch is from Michigan and plays guitar and mostly listens to metal and recently moved here and is trying to find a new job,detailed
my car started making a noise yesterday after I changed the oil and it only happens when the engine is warm and I am accelerating uphill but it stops when I let off the gas,detailed
I rebuilt the service last night and the first request works but the second request gets slower and then the third request returns the right answer with a completely different timing profile,detailed
I have a raspberry pi running the model locally with speech recognition and text to speech and I am trying to keep the entire conversation fast without buying another accelerator,detailed
the microphone sounds fine when I record directly but after I route it through the bluetooth device it gets quiet and sometimes the first part of the sentence disappears,detailed
I changed three settings this morning and the temperature dropped but latency got worse while the audio quality improved so I am not sure which change actually caused the regression,detailed
the project has a local database a speech model a language model and a speech synthesis model and each part works alone but I am trying to make the whole pipeline feel like one natural conversation,detailed
I was testing recall with several different questions and the exact phrase works every time but paraphrasing the question causes the memory search to return a different older statement,detailed
the engine is idling rough only after it warms up and the fuel trims look normal at idle but climb under load and there are no stored codes,detailed
I installed the package yesterday and it worked after reboot but this morning the service starts before the audio device is ready and then the application never sees the microphone,detailed
I have two possible designs and the first one is simpler and faster but the second one remembers more information and handles unusual questions better although it uses more memory,detailed
the first benchmark was fast the second was slower and the third had the best first token time but a worse total response time so the results are not pointing in one obvious direction,detailed
I spent most of the day debugging this because the unit test passes and the manual test passes but when the service launches at boot the environment variables are different and the model loads with the wrong settings,detailed
the user might ask about something from ten turns ago or something from yesterday and I want the assistant to find the right memory without carrying the whole conversation in the active context,detailed
I changed the context size reduced the response length and lowered the temperature and now the first response is faster but the model seems less willing to explain complicated questions,detailed
the assistant heard my name wrong three times and each transcription was slightly different but the rest of the sentence was accurate and I still want the greeting route to trigger immediately,detailed
the database contains the original text and a searchable version and when recall runs it scores the matches then restores the complete original statement before building the prompt for the model,detailed
I recorded the narration in several pieces and most of it sounds good but one section has a breath between sentences and another section has a hard audio cut that sounds like a click,detailed
I want to keep the public repository simple enough that somebody can install it on a clean pi but I also want the demo to show the more advanced memory and routing behavior without making setup confusing,detailed
the first route should be nearly instant the recall route can spend a little more time searching and the detailed route can tolerate a longer response but none of them should add another full language model call before generation,detailed
I tested the same question five times and four runs were consistent but one run was much slower even though the prompt looked identical and the machine was not throttling,detailed
I have one recent user and model pair in active context while older user statements are stored in sqlite and searched only when the router decides that recall is needed,detailed
I can accept a little extra latency for a difficult technical question but a hello or goodbye needs to feel immediate because otherwise the assistant feels broken,detailed
the system has several routes and some are semantic while others are conversational and I need the router to distinguish them without turning the routing layer into another giant language model,detailed
the user gave me the make model year symptoms and recent repairs all in one sentence and I want the assistant to respond to the amount of information instead of giving a tiny generic answer,detailed
what do you mean,clarify
can you clarify,clarify
I don't understand,clarify
could you repeat that,clarify
what was that,clarify
sorry I didn't catch that,clarify
can you rephrase that,clarify
what are you asking me,clarify
I'm not sure what you mean,clarify
come again,clarify
say that again,clarify
in english please,clarify
can you say that differently,clarify
I'm confused,clarify
that didn't make sense,clarify
can you simplify that,clarify
what are you trying to say,clarify
I don't follow,clarify
could you explain that again,clarify
sorry I'm lost,clarify
huh,clarify
what does that mean,clarify
I didn't understand that,clarify
run that by me again,clarify
back up a second,clarify
you lost me,clarify
which one do you mean,clarify
what are you referring to,clarify
can you be more specific,clarify
can you put that another way,clarify
set an alarm for eight am,directive
play some music,directive
call my mom,directive
send a message to John,directive
turn on the lights,directive
schedule a meeting,directive
remind me to call later,directive
check my calendar,directive
add an event to my schedule,directive
set a timer for ten minutes,directive
calculate this for me,directive
translate this,directive
set a reminder,directive
start my workout playlist,directive
dim the lights,directive
lock the front door,directive
take a note,directive
answer in one sentence,directive
keep your answer short,directive
be concise,directive
give me the short version,directive
just give me the answer,directive
don't explain it,directive
start over,directive
stop talking,directive
repeat the answer,directive
use simpler words,directive
give me an example,directive
compare the two,directive
list the differences,directive
tell me the next step,directive
read that back to me,directive
answer the question directly,directive
read the codes,directive
check the coolant temperature,directive
clear the codes,directive
pause the music,directive
skip this song,directive
turn the volume down,directive
restart the service,directive
what is a tensor,question
why is the sky blue,question
how does a combustion engine work,question
what does OBD stand for,question
how does bluetooth work,question
what is a neural network,question
what is the difference between ram and storage,question
why does a computer need memory,question
how does linux manage processes,question
what is prefix caching,question
what does a transformer model do,question
how does speech recognition work,question
what happens when an engine overheats,question
is python compiled or interpreted,question
what is the difference between a list and a set,question
why would I use a dictionary,question
how does hashing work,question
what is logistic regression,question
what is tf idf,question
what is a raspberry pi,question
why does context length matter,question
how does a cache work,question
what does latency mean,question
why would a model hallucinate,question
what is sqlite,question
what is full text search,question
what does a cpu thread do,question
what is the difference between a model and an application,question
why does quantization make a model smaller,question
how does text to speech work,question
what is automatic speech recognition,question
what is a context window,question
what is a database index,question
why does temperature affect model output,question
what is machine learning,question
what is a classifier,question
how does tf idf score words,question
what does logistic regression predict,question
why is local inference slower on small hardware,question
what is rag,question
I think it will rain today,normal
the weather is nice,normal
that's interesting,normal
I appreciate your help,normal
thanks for that,normal
okay I understand,normal
that makes sense,normal
good to know,normal
I see what you mean,normal
that's helpful,normal
I'll think about it,normal
alright then,normal
fair enough,normal
I suppose so,normal
maybe later,normal
not sure about that,normal
interesting point,normal
makes sense to me,normal
that's true,normal
you're right,normal
good point,normal
I remember now,normal
I remember how that works,normal
I like pizza,normal
my name is John,normal
I work at a hospital,normal
I live in New York,normal
I prefer cold weather,normal
I just bought a new car,normal
I'm feeling tired today,normal
my birthday is in June,normal
I have a dog named Max,normal
I'm a vegetarian,normal
I like hiking,normal
my favorite movie is Inception,normal
I play guitar,normal
I speak Spanish,normal
I'm studying computer science,normal
I just finished my project,normal
I'm planning a trip to Paris,normal
I'm working on a new app,normal
the program finally works,normal
that test passed,normal
the result looks better now,normal
I think the second option is better,normal
do you remember my dog's name,recall
I remember my dog's name now,normal
remind me what I said yesterday,recall
remind me at five o'clock,directive
explain recursion,question
explain what you just meant,clarify
explain recursion in complete detail,detailed
save this detail for later,memory_store
what detail did I save earlier,recall
tell me what a cache is,question
tell me what I told you about the cache,recall
give me the answer,directive
what is the answer,question
I don't understand caches,normal
I don't understand what you just said,clarify
I want to remember this myself,normal
what did I tell you,recall
what are you telling me,clarify
that was a detailed answer,normal
give me a detailed answer,detailed
yo what's up,greeting
yo whats going on,greeting
hey you,greeting
hello hello,greeting
hey how have you been,greeting
how have you been,greeting
how's your day going,greeting
how is your day going,greeting
what's going on,greeting
whats going on,greeting
hey what's happening,greeting
hello my friend,greeting
hey friend,greeting
nice to see you,greeting
good to talk to you,greeting
hey there how are you,greeting
hi how's everything,greeting
hello hows everything,greeting
see you tomorrow,farewell
talk tomorrow,farewell
talk later,farewell
catch you tomorrow,farewell
catch you next time,farewell
until next time,farewell
I'm out,farewell
im out,farewell
I'm done,farewell
im done,farewell
that's enough for now,farewell
thats enough for now,farewell
we're good for today,farewell
were good for today,farewell
I'm calling it a night,farewell
im calling it a night,farewell
I'm going to bed,farewell
time to go,farewell
got to run,farewell
gotta run,farewell
I'll catch you later,farewell
ill catch you later,farewell
I'll see you later,farewell
we can finish later,farewell
let's stop here,farewell
lets stop here,farewell
that's it,farewell
thats it goodbye,farewell
okay I'm done,farewell
okay im done,farewell
uh huh,affirmative
mm hmm,affirmative
sounds right,affirmative
that sounds right,affirmative
that is correct,affirmative
you are correct,affirmative
that's exactly it,affirmative
thats exactly it,affirmative
that's exactly what I mean,affirmative
that's what I meant,affirmative
yes that's it,affirmative
yeah that's it,affirmative
yes go on,affirmative
go for it,affirmative
proceed,affirmative
continue,affirmative
keep going,affirmative
yes continue,affirmative
okay continue,affirmative
do that,affirmative
yes do that,affirmative
that's acceptable,affirmative
fine by me,affirmative
I'm good with that,affirmative
im good with that,affirmative
I like that,affirmative
I want that,affirmative
that's the one,affirmative
yep perfect,affirmative
okay perfect,affirmative
uh uh,negative
not quite,negative
that's not right,negative
that isn't right,negative
wrong,negative
that's incorrect,negative
you misunderstood me,negative
that's not it,negative
not what I wanted,negative
I don't want to do that,negative
don't do it,negative
do not do that,negative
no cancel it,negative
cancel that request,negative
forget that,negative
scratch that,negative
ignore that,negative
skip that,negative
leave that,negative
stop there,negative
that's enough,negative
don't keep going,negative
no stop,negative
no that's wrong,negative
no I meant something else,negative
I meant the other one,negative
not the first one,negative
I disagree,negative
I don't agree,negative
absolutely no,negative
what did I tell you about Finch,recall
what did I say about Finch,recall
what do you remember about Finch,recall
did I mention Finch before,recall
what did I tell you about my dog,recall
what was my dog's name again,recall
what was the name I gave you,recall
what name did I tell you,recall
what did I say my name was,recall
what did I say my favorite color was,recall
which color did I say I liked,recall
what did I say I liked to eat,recall
what food did I say I liked,recall
where did I tell you I was from,recall
where did I say I worked,recall
what job did I tell you I had,recall
which computer did I say I use,recall
which pi did I say I have,recall
which model are we running again,recall
what model did I say we were running,recall
what thread count did I tell you worked best,recall
what setting did I say worked best,recall
what value did we settle on,recall
which option did we settle on,recall
what did we choose earlier,recall
what did we decide about that,recall
what conclusion did we reach,recall
what was the decision we made,recall
what did I say I was going to do next,recall
what was my next step,recall
what did I say I needed to do,recall
what did I tell you I was building,recall
what was the project I mentioned,recall
what was that program I was working on,recall
what did I call my router model,recall
what name did I give the classifier,recall
what was the term I used earlier,recall
what acronym did we use,recall
what was that acronym again,recall
what did I say about the cache,recall
what did I say about memory,recall
what was our conversation about memory,recall
what did we say about retrieval,recall
what did I say happened in the benchmark,recall
what was the result I gave you,recall
what numbers did I tell you earlier,recall
what time did I say it took,recall
what latency did I report,recall
what did I say Whisper heard,recall
how did Whisper spell the name before,recall
what audio problem did I mention,recall
what issue did I say I fixed,recall
what was broken before,recall
what command did I use earlier,recall
what path did I give you,recall
what directory was I working in,recall
what file did I say we changed,recall
what did I say I wanted to avoid,recall
what did I tell you not to change,recall
do you remember what we agreed on,recall
do you remember the last setting we used,recall
do you remember why we changed that,recall
can you pull up what I said about that,recall
can you pull up my earlier comment,recall
bring back what I said about the pi,recall
find what I said about the backpack,recall
find my earlier comment about Finch,recall
look up what I said before,recall
look up my previous statement,recall
what was I talking about a minute ago,recall
what was I talking about earlier today,recall
what did I mention a few turns ago,recall
what did I tell you a while back,recall
what have we already established,recall
what did we already figure out,recall
what was the thing we already tested,recall
what did I already tell you,recall
didn't I tell you about that already,recall
didnt I mention that before,recall
you know the thing I told you about earlier,recall
remember that my favorite food is pizza,memory_store
remember that I prefer Linux,memory_store
remember that I use a Raspberry Pi,memory_store
remember that I want the fast route first,memory_store
remember that detailed has two triggers,memory_store
remember that I do not want another model call,memory_store
remember that greetings need to be fast,memory_store
remember that I prefer the second option,memory_store
remember that the dog is named Finch,memory_store
remember that Finch is from Michigan,memory_store
remember that I use three threads,memory_store
remember that this setting worked,memory_store
please save my preference for short greetings,memory_store
please save that I use Linux,memory_store
please save that my dog's name is Finch,memory_store
save the fact that I use a pi five,memory_store
save the fact that I prefer local inference,memory_store
save this setting for next time,memory_store
save this result for later,memory_store
store my preference for concise answers,memory_store
store that Finch likes metal,memory_store
store that my project uses sqlite,memory_store
put this fact in memory,memory_store
put this preference in memory,memory_store
put the next sentence in memory,memory_store
keep a record of this,memory_store
keep this fact around,memory_store
keep this preference for later,memory_store
make sure you remember this,memory_store
make sure you save that,memory_store
don't lose this information,memory_store
don't forget that I said this,memory_store
do not forget my preference,memory_store
hold onto this for later,memory_store
hold on to this detail,memory_store
remember this next time we talk,memory_store
save this for the next conversation,memory_store
keep this between conversations,memory_store
add that to what you remember,memory_store
add this fact to memory,memory_store
record this in memory,memory_store
record that I chose this option,memory_store
note that I prefer the first one,memory_store
note this for later,memory_store
memorize this fact,memory_store
I need you to remember this,memory_store
I need you to save this,memory_store
I want this remembered,memory_store
I want this saved for later,memory_store
keep what I just said,memory_store
give me a deeper explanation,detailed
go into detail,detailed
go into more detail,detailed
go into a lot more detail,detailed
expand on that,detailed
expand on your answer,detailed
give me more information,detailed
give me much more information,detailed
explain the reasoning behind it,detailed
explain why that happens in detail,detailed
walk through the entire thing,detailed
walk me through the whole process,detailed
take me through it from start to finish,detailed
show me every step,detailed
don't leave anything out,detailed
cover everything important,detailed
give me the full breakdown,detailed
give me a full breakdown,detailed
I want the full explanation,detailed
I want the long answer,detailed
I want the complete answer,detailed
give me the technical details,detailed
explain the technical side,detailed
explain what's happening under the hood,detailed
tell me exactly how it works,detailed
tell me exactly why,detailed
explain each part,detailed
break down each part,detailed
break that into steps,detailed
give me all the important details,detailed
don't dumb it down,detailed
give me the advanced explanation,detailed
explain it at a deeper level,detailed
can you be more thorough,detailed
can you expand on that a lot,detailed
I need more context,detailed
give me enough detail to understand the whole thing,detailed
take your time and explain it,detailed
I want to understand how all the pieces fit together,detailed
explain the whole architecture,detailed
I changed the model threads from four to three and the first token got faster but the total response time only improved sometimes and I also changed the audio buffer so I am not sure which variable mattered,detailed
the car only shakes at idle after it has warmed up and the rpm is steady but the vibration gets worse with the air conditioning on and there are no warning lights or stored trouble codes,detailed
I have the speech recognition model running on one thread pool the language model on another and text to speech on a third and individually they are fast enough but together the turn still feels a little slow,detailed
I tried the same recall request three different ways and the first wording finds the correct memory the second finds an older memory and the third does not trigger recall at all even though they mean almost the same thing,detailed
the machine boots the service loads successfully and the model is warm but the first spoken query still takes longer than later queries while direct text requests do not show the same delay,detailed
the user can say hello followed by an entire technical question and I still want that turn treated as a greeting because the greeting rule is intentionally absolute even though that means we throw away the rest of the request,detailed
the memory database stores the original statement and searchable text and I want recall to retrieve the highest scoring result while preferring the newest result when two memories have the same score,detailed
I want greetings affirmations and goodbyes to return almost instantly while recall questions can spend a little time searching and detailed questions can generate longer answers without slowing every simple conversation turn,detailed
the microphone sounds clear the transcription is mostly correct and the language model response is good but occasionally the text to speech begins late and the pause makes the entire assistant feel slower than the measured model latency,detailed
I tested the installation on a clean system and the setup completed correctly but the audio device names were different and one service started before the bluetooth connection was ready so the first run failed,detailed
I am trying to classify normal questions recall requests explicit commands clarifications and detailed overshare while also keeping simple conversational things like yes no hello and goodbye on the fastest possible path,detailed
the first design used regex for almost everything and it worked on the phrases I expected but every new way of saying the same intent required another rule and eventually the router became difficult to reason about,detailed
the benchmark says the prepared prompt and rebuilt prompt are almost identical in latency while a changed prefix is much slower and I am trying to explain what that suggests without claiming more than the benchmark proves,detailed
I recorded the video one paragraph at a time and the visuals look good but the audio levels vary slightly between clips and a couple transitions have breaths or clicks that make the edit sound less polished,detailed
I want the public version to demonstrate the core cache shaping idea but I do not want to include every private memory trick routing rule and tuning decision because the reference implementation should stay understandable,detailed
I am using word features character features and logistic regression because the classifier needs to tolerate transcription mistakes while still running far faster than an additional language model request,detailed
I can accept that the classifier will occasionally be uncertain but when its top two scores are close I want a safe fallback instead of confidently sending the user down the wrong specialized route,detailed
the system needs to remember enough to answer old questions but if I inject different retrieved text into every prompt I lose some prefix cache reuse so memory quality and prompt stability are pulling in opposite directions,detailed
I have a fast path a statistical router a recall database and a language model and I want each part to have one clear job so I can benchmark failures without guessing which layer caused the problem,detailed
the user told me several details about where their friend is from what music they like what they do for work and why they moved and I want the assistant to respond with comparable depth instead of a two sentence generic answer,detailed
I didn't get that,clarify
I did not get that,clarify
I don't get it,clarify
I do not get it,clarify
I'm not getting it,clarify
that went over my head,clarify
you need to explain that again,clarify
try explaining that again,clarify
try saying that another way,clarify
say it another way,clarify
word that differently,clarify
reword that,clarify
rephrase your answer,clarify
can you restate that,clarify
can you restate your answer,clarify
what exactly do you mean,clarify
what are you getting at,clarify
what does that sentence mean,clarify
what does that word mean in your answer,clarify
which part are you talking about,clarify
which thing do you mean,clarify
what thing are you referring to,clarify
I'm lost on that part,clarify
you lost me at the last part,clarify
I lost you there,clarify
I didn't follow the last sentence,clarify
can you slow that explanation down,clarify
can you make that easier to understand,clarify
simplify what you just said,clarify
explain your last answer more simply,clarify
what was the last thing you said,clarify
repeat the last part,clarify
repeat that last sentence,clarify
I couldn't hear that,clarify
I couldnt hear the answer,clarify
I missed what you said,clarify
what did you just say,model_recall
can you repeat your response,clarify
say your response again,clarify
I'm confused by your answer,clarify
make the answer shorter,directive
make that shorter,directive
shorten the response,directive
keep it brief,directive
use fewer words,directive
only give me the important part,directive
don't give me a long answer,directive
give me three examples,directive
give me five examples,directive
list the steps,directive
put that in a list,directive
make a checklist,directive
summarize that,directive
summarize it in one paragraph,directive
rewrite that,directive
rewrite it more clearly,directive
change the wording,directive
use a different example,directive
show me another way,directive
show me the code,directive
write the code for that,directive
run that calculation,directive
check the math,directive
look that up,directive
search for that,directive
find the answer,directive
open the file,directive
read the file,directive
save the changes,directive
delete that,directive
remove that line,directive
add that line,directive
change that value,directive
set it to three,directive
turn that off,directive
turn that on,directive
enable that setting,directive
disable that setting,directive
run the benchmark,directive
run the tests,directive
check the logs,directive
show the logs,directive
restart it,directive
stop the service,directive
start the service,directive
reboot the pi,directive
play the next song,directive
pause playback,directive
resume the music,directive
lower the volume,directive
raise the volume,directive
read the engine codes,directive
check the rpm,directive
check the fuel trims,directive
check the vehicle speed,directive
clear the trouble codes,directive
tell me only the result,directive
answer without explaining,directive
use plain english,directive
don't use technical terms,directive
what does cpu stand for,question
what does gpu stand for,question
what is ram used for,question
what is swap memory,question
what is virtual memory,question
what is a cache hit,question
what is a cache miss,question
why does caching improve speed,question
how does prefix caching work,question
what is an llm harness,question
what does a harness do,question
what is a system prompt,question
what is a token,question
how are tokens created,question
what is inference,question
what is model inference,question
what is quantization,question
what does q4 mean,question
what is an embedding,question
how do embeddings work,question
what is cosine similarity,question
what is bm25,question
how does full text search rank results,question
what is sqlite fts5,question
why use sqlite,question
what is a relational database,question
what is an index in a database,question
what is rag used for,question
what is retrieval augmented generation,question
what is context enrichment,question
why can retrieval be wrong,question
what is automatic prefix caching,question
what is a prompt prefix,question
why does changing the prompt hurt caching,question
what is an intent classifier,question
how does logistic regression classify text,question
why use tf idf,question
what is a character n gram,question
what is a word n gram,question
what does confidence mean in a classifier,question
what is cross validation,question
what is a confusion matrix,question
what does precision mean in machine learning,question
what does recall mean in machine learning,question
what does f1 score mean,question
what is overfitting,question
what is underfitting,question
why do models need training data,question
how much training data do I need,question
what is a sparse matrix,question
what does joblib do,question
what does pandas do,question
what does numpy do,question
what does scikit learn do,question
what is faster whisper,question
what does whisper do,question
what does kokoro do,question
what is speech to text,question
what is text to speech,question
what is a transformer,question
what is attention in a transformer,question
why is an llm slow on a raspberry pi,question
what does model temperature do,question
what does context length do,question
why does a longer prompt take more work,question
how does a raspberry pi differ from a desktop,question
what is an npu,question
what is an ai accelerator,question
what is a neural processing unit,question
how does bluetooth audio work,question
I like that explanation,normal
that explanation was useful,normal
that was pretty clear,normal
I think I understand now,normal
I need to think about that,normal
I'm still thinking about it,normal
that seems reasonable,normal
that seems possible,normal
that could work,normal
I might try that,normal
I probably won't do that,normal
I haven't decided yet,normal
I'm leaning toward the first option,normal
I'm leaning toward the second option,normal
I like the simpler approach,normal
I prefer the faster approach,normal
I care more about latency,normal
I care more about accuracy,normal
I don't mind waiting a little longer,normal
I want to keep this simple,normal
I think we're close,normal
I think this is working,normal
this seems better,normal
this seems worse,normal
the new version feels faster,normal
the old version sounded better,normal
the model answered correctly,normal
the transcription looks correct,normal
the audio sounds good now,normal
the test passed,normal
the test failed,normal
the service is running,normal
the service stopped,normal
the pi is getting warm,normal
the cpu usage is high,normal
the memory usage looks fine,normal
I use Linux on my desktop,normal
I have a Raspberry Pi five,normal
I use a bluetooth headset,normal
I have a dog named Finch,normal
Finch likes metal,normal
Finch is from Michigan,normal
my favorite color is blue,normal
my favorite food is pizza,normal
I work from home,normal
I am learning Python,normal
I have been studying machine learning,normal
I built this project myself,normal
I changed the code yesterday,normal
I ran the benchmark this morning,normal
I was testing recall earlier,normal
I remember what we decided,normal
I remember that setting now,normal
I forgot what I was going to say,normal
I was talking about the cache,normal
I mentioned the backpack earlier,normal
I already fixed that problem,normal
I haven't fixed that problem yet,normal
I think the bug is in the router,normal
I think the database is fine,normal
I think Whisper made the mistake,normal
I think the model is doing what we asked,normal
this is just a test sentence,normal
I'm testing the classifier,normal
routerMon is a funny name,normal
the classifier is tiny,normal
the training went quickly,normal
the output file is small,normal
I can work with that,normal
we'll see how it performs,normal
remember that the model uses three threads,memory_store
do you remember how many threads the model uses,recall
I remember that the model uses three threads,normal
remember that Finch likes metal,memory_store
what music did I say Finch likes,recall
save that I use Linux,memory_store
what operating system did I say I use,recall
I use Linux,normal
tell me what I said about TF IDF,recall
tell me what TF IDF is,question
what did you mean by cache reuse,clarify
what is cache reuse,question
explain your last answer,clarify
explain logistic regression,question
explain logistic regression in detail,detailed
repeat what you just said,clarify
repeat the benchmark,directive
remember this answer,memory_store
remember the answer I gave you earlier,recall
I don't remember what I said,normal
what did I say,recall
I want you to remember the next sentence,memory_store
I want to remember the next sentence myself,normal
what is my dog's name,recall
what is a dog's normal temperature,question
what was my last question,recall
what is the last question in the test,question
give me more detail,detailed
give me more examples,directive
can you make your last answer clearer,clarify
make the output file smaller,directive
yes that's correct,affirmative
is that correct,question
why is that wrong,question
why is the night sky dark,question
what did you say about prefix caching,model_recall
what did you say about the cache,model_recall
what did you say about tf idf,model_recall
what did you say about logistic regression,model_recall
what did you say about the router,model_recall
what did you say about memory,model_recall
what did you say about recall,model_recall
what did you say about the pi,model_recall
what did you say about the model,model_recall
what did you say about whisper,model_recall
what did you say about kokoro,model_recall
what did you say about that earlier,model_recall
what did you say earlier about that,model_recall
what did you say last time about that,model_recall
what did you say before about that,model_recall
what did you tell me about prefix caching,model_recall
what did you tell me about the model,model_recall
what did you tell me about memory,model_recall
what did you tell me about the pi,model_recall
what did you tell me earlier,model_recall
what did you tell me before,model_recall
what did you tell me last time,model_recall
remind me what you said about the cache,model_recall
remind me what you said about tf idf,model_recall
remind me what you said earlier,model_recall
remind me what you told me about that,model_recall
repeat what you said about prefix caching,model_recall
repeat what you told me about the router,model_recall
repeat your explanation about tf idf,model_recall
what was your explanation of prefix caching,model_recall
what was your explanation of tf idf,model_recall
what was your explanation about memory,model_recall
what was your answer about the pi,model_recall
what was your answer to my question about caching,model_recall
what answer did you give me about that,model_recall
what did your answer say about that,model_recall
what was the thing you told me,model_recall
what was that thing you said,model_recall
what were you saying about the model,model_recall
what were you saying about caching,model_recall
what were you telling me about the router,model_recall
what were you explaining about tf idf,model_recall
what did you explain about logistic regression,model_recall
what did you explain earlier,model_recall
what did you explain to me about the cache,model_recall
what was your point about context,model_recall
what point did you make about context,model_recall
what did you mention about context,model_recall
what did you mention about latency,model_recall
what did you mention earlier about recall,model_recall
what did you recommend about the router,model_recall
what did you recommend earlier,model_recall
what was your recommendation about that,model_recall
what was the recommendation you gave me,model_recall
what did you suggest about memory,model_recall
what did you suggest I do,model_recall
what was your suggestion about the classifier,model_recall
what did you call that technique,model_recall
what term did you use for that,model_recall
what name did you give that idea,model_recall
what definition did you give me,model_recall
how did you define tf idf,model_recall
how did you explain rag,model_recall
how did you explain context,model_recall
what example did you give me,model_recall
what example did you use for recall,model_recall
which example did you give earlier,model_recall
what numbers did you tell me,model_recall
what latency number did you give me,model_recall
what percentage did you say,model_recall
what did you say the acronym stood for,model_recall
what did you say tf idf stands for,model_recall
what did you say rag stands for,model_recall
what did you say whisper does,model_recall
what did you say kokoro does,model_recall
what did you say the harness does,model_recall
what did you say context was,model_recall
okay but what did you say again about caching,model_recall
okay what did you say again about that,model_recall
wait what did you say about the router again,model_recall
hang on what did you tell me about that,model_recall
I forgot what you said about the cache,model_recall
I forgot your explanation of tf idf,model_recall
I forgot what you told me about memory,model_recall
can you pull up what you said about the pi,model_recall
can you find your earlier answer about caching,model_recall
look up what you told me about the router,model_recall
bring back your answer about that,model_recall
bring back what you said earlier,model_recall
what was your previous response about this,model_recall
what did your previous response say,model_recall
what was your last answer about memory,model_recall
what did you answer when I asked about tf idf,model_recall
what did you tell me when I asked about the cache,model_recall
